module|repo|importance|propio|group|class
ajax-best-promise|github|1|TRUE|codenautas|
backend-plus|github|1|TRUE|codenautas|
best-globals|github|1|TRUE|codenautas|
dialog-promise|github|1|TRUE|codenautas|
dir-info|github|3|TRUE|codenautas|
expect.js|github||FALSE|LearnBoost|
istanbul|github||FALSE|gotwarlost|
memoizee|github||FALSE|medikoo|
mocha|github||FALSE|mochajs|
moment|github||FALSE|moment|
child-process-promise|github||FALSE||
expect-called|github||TRUE|emilioplatzer|
fs-extra|github||FALSE||
fs-promise|github||FALSE||
npm-check-updates|github||FALSE||
read-yaml-promise|github||FALSE||
